case_id,type,difficulty,strategy,recall@1,precision@1,mrr,ndcg@1,recall@3,precision@3,ndcg@3,recall@5,precision@5,ndcg@5
image-02-code,image,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-02-code,image,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-02-code,image,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-02-metric,equation,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-02-metric,equation,medium,dense,0.0,0.0,0.5,0.0,1.0,0.333333,0.63093,1.0,0.2,0.63093
equation-02-metric,equation,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-02-definition,equation,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-02-definition,equation,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-02-definition,equation,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
cross-02-owner-release,cross_document,easy,bm25,0.5,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,0.4,1.0
cross-02-owner-release,cross_document,easy,dense,0.5,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,0.4,1.0
cross-02-owner-release,cross_document,easy,hybrid_rrf,0.5,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,0.4,1.0
cross-02-gateway-sensor,cross_document,medium,bm25,0.0,0.0,0.5,0.0,1.0,0.666667,0.693426,1.0,0.4,0.693426
cross-02-gateway-sensor,cross_document,medium,dense,0.5,1.0,1.0,1.0,0.5,0.333333,0.613147,1.0,0.4,0.877215
cross-02-gateway-sensor,cross_document,medium,hybrid_rrf,0.5,1.0,1.0,1.0,0.5,0.333333,0.613147,1.0,0.4,0.877215
refusal-02-budget,refusal,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-02-budget,refusal,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-02-budget,refusal,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-02-vendor,refusal,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-02-vendor,refusal,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-02-vendor,refusal,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-03-owner,text,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-03-owner,text,medium,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-03-owner,text,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-03-release,text,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-03-release,text,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-03-release,text,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-03-latency,table,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-03-latency,table,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-03-latency,table,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-03-accuracy,table,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-03-accuracy,table,medium,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-03-accuracy,table,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-03-gateway,image,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-03-gateway,image,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-03-gateway,image,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-03-code,image,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-03-code,image,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-03-code,image,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-03-metric,equation,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-03-metric,equation,medium,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-03-metric,equation,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-03-definition,equation,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-03-definition,equation,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-03-definition,equation,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
cross-03-owner-release,cross_document,easy,bm25,0.5,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,0.4,1.0
cross-03-owner-release,cross_document,easy,dense,0.5,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,0.4,1.0
cross-03-owner-release,cross_document,easy,hybrid_rrf,0.5,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,0.4,1.0
cross-03-gateway-sensor,cross_document,medium,bm25,0.0,0.0,0.5,0.0,1.0,0.666667,0.693426,1.0,0.4,0.693426
cross-03-gateway-sensor,cross_document,medium,dense,0.5,1.0,1.0,1.0,1.0,0.666667,0.919721,1.0,0.4,0.919721
cross-03-gateway-sensor,cross_document,medium,hybrid_rrf,0.5,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,0.4,1.0
refusal-03-budget,refusal,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-03-budget,refusal,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-03-budget,refusal,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-03-vendor,refusal,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-03-vendor,refusal,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-03-vendor,refusal,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-04-owner,text,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-04-owner,text,medium,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-04-owner,text,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-04-release,text,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-04-release,text,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-04-release,text,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-04-latency,table,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-04-latency,table,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-04-latency,table,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-04-accuracy,table,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-04-accuracy,table,medium,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-04-accuracy,table,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-04-gateway,image,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-04-gateway,image,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-04-gateway,image,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-04-code,image,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-04-code,image,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-04-code,image,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-04-metric,equation,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-04-metric,equation,medium,dense,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.2,0.386853
equation-04-metric,equation,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
cross-04-owner-release,cross_document,hard,bm25,0.5,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,0.4,1.0
cross-04-owner-release,cross_document,hard,dense,0.5,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,0.4,1.0
cross-04-owner-release,cross_document,hard,hybrid_rrf,0.5,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,0.4,1.0
cross-04-gateway-sensor,cross_document,easy,bm25,0.0,0.0,0.5,0.0,1.0,0.666667,0.693426,1.0,0.4,0.693426
cross-04-gateway-sensor,cross_document,easy,dense,0.0,0.0,0.5,0.0,0.5,0.333333,0.386853,0.5,0.2,0.386853
cross-04-gateway-sensor,cross_document,easy,hybrid_rrf,0.0,0.0,0.333333,0.0,0.5,0.333333,0.306574,1.0,0.4,0.570642
refusal-04-budget,refusal,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-04-budget,refusal,medium,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-04-budget,refusal,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-04-vendor,refusal,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-04-vendor,refusal,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-04-vendor,refusal,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-05-owner,text,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-05-owner,text,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-05-owner,text,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-05-release,text,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-05-release,text,medium,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-05-release,text,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-05-latency,table,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-05-latency,table,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-05-latency,table,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-05-accuracy,table,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-05-accuracy,table,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-05-accuracy,table,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-05-gateway,image,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-05-gateway,image,medium,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-05-gateway,image,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-05-code,image,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-05-code,image,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-05-code,image,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-05-metric,equation,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-05-metric,equation,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-05-metric,equation,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
cross-05-owner-release,cross_document,medium,bm25,0.5,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,0.4,1.0
cross-05-owner-release,cross_document,medium,dense,0.5,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,0.4,1.0
cross-05-owner-release,cross_document,medium,hybrid_rrf,0.5,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,0.4,1.0
cross-05-gateway-sensor,cross_document,hard,bm25,0.0,0.0,0.5,0.0,1.0,0.666667,0.693426,1.0,0.4,0.693426
cross-05-gateway-sensor,cross_document,hard,dense,0.0,0.0,0.5,0.0,0.5,0.333333,0.386853,0.5,0.2,0.386853
cross-05-gateway-sensor,cross_document,hard,hybrid_rrf,0.0,0.0,0.5,0.0,0.5,0.333333,0.386853,0.5,0.2,0.386853
refusal-05-budget,refusal,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-05-budget,refusal,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-05-budget,refusal,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-05-vendor,refusal,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-05-vendor,refusal,medium,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-05-vendor,refusal,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-06-owner,text,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-06-owner,text,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-06-owner,text,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-06-release,text,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-06-release,text,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-06-release,text,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-06-latency,table,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-06-latency,table,medium,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-06-latency,table,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-06-accuracy,table,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-06-accuracy,table,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-06-accuracy,table,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-06-gateway,image,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-06-gateway,image,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-06-gateway,image,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-06-code,image,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-06-code,image,medium,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-06-code,image,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-06-metric,equation,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-06-metric,equation,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
equation-06-metric,equation,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
cross-06-owner-release,cross_document,easy,bm25,0.5,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,0.4,1.0
cross-06-owner-release,cross_document,easy,dense,0.5,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,0.4,1.0
cross-06-owner-release,cross_document,easy,hybrid_rrf,0.5,1.0,1.0,1.0,1.0,0.666667,1.0,1.0,0.4,1.0
cross-06-gateway-sensor,cross_document,medium,bm25,0.0,0.0,0.5,0.0,1.0,0.666667,0.693426,1.0,0.4,0.693426
cross-06-gateway-sensor,cross_document,medium,dense,0.5,1.0,1.0,1.0,0.5,0.333333,0.613147,0.5,0.2,0.613147
cross-06-gateway-sensor,cross_document,medium,hybrid_rrf,0.5,1.0,1.0,1.0,1.0,0.666667,0.919721,1.0,0.4,0.919721
refusal-06-budget,refusal,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-06-budget,refusal,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-06-budget,refusal,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-06-vendor,refusal,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-06-vendor,refusal,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
refusal-06-vendor,refusal,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-07-owner,text,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-07-owner,text,medium,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-07-owner,text,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-07-release,text,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-07-release,text,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
text-07-release,text,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-07-latency,table,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-07-latency,table,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-07-latency,table,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-07-accuracy,table,medium,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-07-accuracy,table,medium,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
table-07-accuracy,table,medium,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-07-gateway,image,hard,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-07-gateway,image,hard,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-07-gateway,image,hard,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-07-code,image,easy,bm25,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-07-code,image,easy,dense,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
image-07-code,image,easy,hybrid_rrf,1.0,1.0,1.0,1.0,1.0,0.333333,1.0,1.0,0.2,1.0
